id,study.name,dint,SD,cf.timely,setting,ed.level,profic,genre,timed,Length,graded,cf.training,error.type,cf.scope,cf.type,error.key,cf.revision,cf.oral
44,Tanveer.etal,1.77505,0.5496324,99,2,1,1,5,1,99,99,99,10,1,8,88,1,0
44,Tanveer.etal,1.7324003,0.5380831,99,2,1,1,5,1,99,99,99,10,1,8,88,1,0
44,Tanveer.etal,1.8307764,0.5369669,99,2,1,1,5,1,99,99,99,10,1,3,88,1,0
44,Tanveer.etal,1.3752402,0.5030962,99,2,1,1,5,1,99,99,99,10,1,3,88,1,0
45,Trscott_Hsu,-0.0827458,0.3377225,1,2,2,1,5,1,1,0,99,0,0,1,88,1,0
46,VanBe_Jng_Ken,-0.8911023,0.3723679,99,2,1,99,2,1,1,0,0,0,0,0,88,1,0
46,VanBe_Jng_Ken,0.2493989,0.3554762,99,2,1,99,2,1,1,0,0,0,0,2,1,1,0
46,VanBe_Jng_Ken,-1.3161183,0.4220108,99,2,1,99,2,1,1,0,0,0,0,0,88,1,0
46,VanBe_Jng_Ken,-0.1756171,0.4053818,99,2,1,99,2,1,1,0,0,0,0,2,1,1,0
46,VanBe_Jng_Ken,-1.0457147,0.3639156,99,2,1,99,2,1,1,0,0,0,0,0,88,1,0
46,VanBe_Jng_Ken,-0.2850271,0.3480894,99,2,1,99,2,1,1,0,0,0,0,2,1,1,0
46,VanBe_Jng_Ken,-0.7674492,0.3721385,99,2,1,99,2,1,1,0,0,0,0,0,88,1,0
46,VanBe_Jng_Ken,-0.0067616,0.3590296,99,2,1,99,2,1,1,0,0,0,0,2,1,1,0
47,VanBe_Jng_KenA,0.8167145,0.2410057,99,2,1,77,2,1,1,0,0,0,0,0,88,1,0
47,VanBe_Jng_KenA,0.1456308,0.2350048,99,2,1,77,2,1,1,0,0,0,0,2,1,1,0
47,VanBe_Jng_KenA,1.1213677,0.2645432,99,2,1,77,2,1,1,0,0,0,0,0,88,1,0
47,VanBe_Jng_KenA,0.450284,0.2617133,99,2,1,77,2,1,1,0,0,0,0,2,1,1,0
48,VanBe_Jng_KenB,0.6750936,0.2594695,99,2,1,77,2,1,1,0,0,0,0,0,88,1,0
48,VanBe_Jng_KenB,0.0686021,0.2652838,99,2,1,77,2,1,1,0,0,0,0,0,88,1,0
48,VanBe_Jng_KenB,0.7816304,0.2598421,99,2,1,77,2,1,1,0,0,0,0,2,1,1,0
48,VanBe_Jng_KenB,0.175139,0.2628085,99,2,1,77,2,1,1,0,0,0,0,2,1,1,0
48,VanBe_Jng_KenB,0.4659922,0.2512029,99,2,1,77,2,1,1,0,0,0,0,0,88,1,0
48,VanBe_Jng_KenB,0.138741,0.2652033,99,2,1,77,2,1,1,0,0,0,0,0,88,1,0
48,VanBe_Jng_KenB,0.4843428,0.2525662,99,2,1,77,2,1,1,0,0,0,0,2,1,1,0
48,VanBe_Jng_KenB,0.1570916,0.2675572,99,2,1,77,2,1,1,0,0,0,0,2,1,1,0
49,Wagner,0.4161491,0.3277458,1,2,1,2,2,1,2,99,1,0,0,2,1,1,0
50,Wang,0.6781531,0.2845246,0,2,2,99,2,1,3,99,99,0,0,1,88,1,0
50,Wang,0.5380784,0.2782868,0,2,2,99,2,1,3,99,99,0,0,0,88,1,0
51,Yu_Cheng,0.6004887,0.2734017,0,2,2,1,2,1,1,1,99,1,2,8,88,1,0
51,Yu_Cheng,0.3869611,0.2673044,0,2,2,1,2,1,1,1,99,1,2,8,88,1,0
52,Zhang,-0.8209664,0.3146382,2,2,2,1,2,1,2,1,99,0,0,0,88,2,0
52,Zhang,-0.7342465,0.3057668,2,2,2,1,2,1,2,1,99,0,0,0,88,2,0
