study.name,dint,SD,setting,cf.type,error.key,error.type,ed.level,profic,cf.oral,cf.training,cf.scope,Length,instruction,graded,genre,cf.revision,timed,time,outcome
Sob_Taybi,0.4192391,0.379996,2,1,88,0,3,1,0,99,1,99,99,0,5,99,1,2,1
Stefan_Revesz,-0.4877348,0.2725555,2,0,88,1,1,1,0,99,2,99,0,99,7,2,0,1,1
Stefan_Revesz,0.1271268,0.287981,2,0,88,1,1,1,0,99,2,99,0,99,7,2,0,2,1
Stefan_Revesz,2.0438835,0.3409904,2,0,88,1,1,1,0,99,2,99,0,99,7,2,0,1,2
Stefan_Revesz,1.8026304,0.3223305,2,0,88,1,1,1,0,99,2,99,0,99,7,2,0,2,2
Stefan_Revesz,-0.1259811,0.2668008,2,8,88,1,1,1,0,99,2,99,0,99,7,2,0,1,1
Stefan_Revesz,0.5082738,0.2882019,2,8,88,1,1,1,0,99,2,99,0,99,7,2,0,2,1
Stefan_Revesz,1.973196,0.3503824,2,8,88,1,1,1,0,99,2,99,0,99,7,2,0,1,2
Stefan_Revesz,1.8589556,0.3407351,2,8,88,1,1,1,0,99,2,99,0,99,7,2,0,2,2
Sun,0.7362874,0.4758347,2,8,0,10,2,1,0,99,2,2,0,1,5,1,0,3,1
Sun,0.0949114,0.4293347,2,3,1,0,2,1,0,99,0,2,0,1,5,1,0,3,1
Tanveer.etal,1.77505,0.5394921,2,8,88,10,1,1,0,99,1,99,99,99,5,1,1,1,1
Tanveer.etal,1.7324003,0.5346613,2,8,88,10,1,1,0,99,1,99,99,99,5,1,1,2,1
Tanveer.etal,1.8307764,0.5332693,2,3,88,10,1,1,0,99,1,99,99,99,5,1,1,1,1
Tanveer.etal,1.3752402,0.4995754,2,3,88,10,1,1,0,99,1,99,99,99,5,1,1,2,1
Trscott_Hsu,-0.0827458,0.3357962,2,1,88,0,2,1,0,99,0,1,99,0,5,1,1,2,1
VanBe_Jng_Ken,-0.8911023,0.3705225,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1,2,1
VanBe_Jng_Ken,0.2493989,0.3549953,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1,2,1
VanBe_Jng_Ken,-1.3161183,0.4177728,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1,2,2
VanBe_Jng_Ken,-0.1756171,0.4040654,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1,2,2
VanBe_Jng_Ken,-1.0457147,0.3615912,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1,2,3
VanBe_Jng_Ken,-0.2850271,0.3500717,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1,2,3
VanBe_Jng_Ken,-0.7674492,0.3731915,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1,2,4
VanBe_Jng_Ken,-0.0067616,0.3620412,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1,2,4
VanBe_Jng_KenA,0.8167145,0.2387641,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1,3,1
VanBe_Jng_KenA,0.1456308,0.2335835,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1,3,1
VanBe_Jng_KenA,1.1213677,0.2629362,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1,3,2
VanBe_Jng_KenA,0.450284,0.2582409,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1,3,2
VanBe_Jng_KenB,0.6750936,0.256375,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1,2,1
VanBe_Jng_KenB,0.0686021,0.2639145,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1,3,1
VanBe_Jng_KenB,0.7816304,0.2579351,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1,2,1
VanBe_Jng_KenB,0.175139,0.2654303,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1,3,1
VanBe_Jng_KenB,0.4659922,0.2519378,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1,2,2
VanBe_Jng_KenB,0.138741,0.2665688,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1,3,2
VanBe_Jng_KenB,0.4843428,0.252308,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1,2,2
VanBe_Jng_KenB,0.1570916,0.2669187,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1,3,2
Wagner,0.4161491,0.3230696,2,2,1,0,1,2,0,1,0,2,0,99,2,1,1,3,1
Wang,0.6781531,0.2817999,2,1,88,0,2,99,0,99,0,2,2,99,2,1,1,3,1
Wang,0.5380784,0.2739931,2,0,88,0,2,99,0,99,0,2,2,99,2,1,1,3,1
Yu_Cheng,0.6004887,0.2689857,2,8,88,1,2,1,0,99,2,1,0,1,2,1,1,1,1
