study.name,dint,SD,time,setting,cf.type,error.key,error.type,ed.level,profic,cf.oral,cf.training,cf.scope,Length,instruction,graded,genre,cf.revision,timed
Parreno,0.724286673,0.417633203,2,2,0,88,0,2,1,0,1,1,1,99,0,6,1,1
Parreno,1.248117056,0.408495412,2,2,2,1,0,2,1,0,1,1,1,99,0,6,1,1
Pash.,0.900068175,0.357637052,1,2,0,88,0,2,1,0,0,1,1,0,99,7,0,1
Pash.,0.203265732,0.342011535,1,2,0,88,0,2,1,0,0,1,1,0,99,7,0,1
Pash.,0.92162687,0.408795712,1,2,0,88,0,2,1,0,0,1,1,0,99,7,1,1
Pash.,0.14052566,0.313268494,3,2,0,88,0,2,1,0,0,1,1,0,99,7,0,1
Pash.,-0.075847053,0.332398347,3,2,0,88,0,2,1,0,0,1,1,0,99,7,0,1
Pash.,0.001644134,0.34028525,3,2,0,88,0,2,1,0,0,1,1,0,99,7,1,1
Polio_etal,0.09026967,0.256077099,2,1,99,0,0,2,99,0,99,0,99,1,1,6,1,1
Polio_etal,0.322208575,0.252340651,2,1,99,0,0,2,99,0,99,0,99,1,1,6,1,1
Rahimi,0.12826041,0.299254109,3,2,2,0,0,2,1,0,99,0,2,99,99,2,1,0
Rummel_Bitc.,1.01549213,0.515958624,2,2,0,0,3,3,2,0,99,2,2,99,99,6,2,1
Rummel_Bitc.,0.926302958,0.503917884,2,2,2,0,3,3,2,0,99,2,2,99,99,6,2,1
Rummel_Bitc.,1.407932655,0.554077995,2,2,3,0,3,3,2,0,99,2,2,99,99,6,2,1
Rummel_Bitc.,0.650777091,0.474423079,3,2,0,0,3,3,2,0,99,2,2,99,99,6,2,1
Rummel_Bitc.,0.597846861,0.469204508,3,2,2,0,3,3,2,0,99,2,2,99,99,6,2,1
Rummel_Bitc.,0.849264907,0.48077762,3,2,3,0,3,3,2,0,99,2,2,99,99,6,2,1
Sheen_a,0.385700813,0.280104478,1,1,0,88,1,2,1,0,99,2,1,0,0,6,0,1
